"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3774","Updates on Garrett’s wonderful amazing basics with the Eiffel towers https://t.co/vkjV3Ug2N9",FALSE,10,NA,2022-11-25 21:52:19,FALSE,NA,"1596260521095081985",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RetroGuyThe",0,FALSE,FALSE,NA,NA
"3775","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:52:05,FALSE,NA,"1596260460537548804",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CronusofASoul",1745,TRUE,FALSE,NA,NA
"3776","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:51:12,FALSE,NA,"1596260237849546753",NA,"<a href=""https://twitterrific.com/ios"" rel=""nofollow"">Twitterrific for iOS</a>","Biden_Winning",1745,TRUE,FALSE,NA,NA
"3777","RT @pukicho: I am racist towards French people. retweet to kill the Eiffel tower",FALSE,0,NA,2022-11-25 21:50:49,FALSE,NA,"1596260142936625154",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soven__",8013,TRUE,FALSE,NA,NA
"3778","MINKOWSKI: Because you are you and he is he and I am me and we are all together. 
EIFFEL: Goo goo g'joob? 
MINKOWSK… https://t.co/hnVGVs2aHR",FALSE,0,NA,2022-11-25 21:50:04,TRUE,NA,"1596259951386578944",NA,"<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>","NAGlBOT",0,FALSE,FALSE,NA,NA
"3779","I Want the 10,000 piece Eiffel Tower Lego set",FALSE,0,NA,2022-11-25 21:49:50,FALSE,NA,"1596259895673847808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_erdnA_",0,FALSE,FALSE,NA,NA
"3780","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:49:21,FALSE,NA,"1596259770956218373",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OneEllOneTee",1745,TRUE,FALSE,NA,NA
"3781","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:48:50,FALSE,NA,"1596259641725308928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","taylorbhurst",1745,TRUE,FALSE,NA,NA
"3782","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:48:43,FALSE,NA,"1596259612642398208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vanetti",1745,TRUE,FALSE,NA,NA
"3783","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:48:15,FALSE,NA,"1596259494857932805",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MobyTape",1745,TRUE,FALSE,NA,NA
"3784","RT @juanbuis: it's just absolutely *incredible* how lego reuses pieces in their designs

for their new eiffel tower model they couldn't fin…",FALSE,0,NA,2022-11-25 21:48:01,FALSE,NA,"1596259438998028353",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ortmair",1745,TRUE,FALSE,NA,NA
